YEAR,MONTH,소상공인체감지수,실업률,물가지수,국고채,금리,유가등락률,소비자심리지수
2009,1,60.8,3.3,86.916,3.44,2.5,-54.6,84
2009,2,0,3.3,87.543,3.78,2,-56,85
2009,3,60.5,3.5,88.17,3.69,2,-51.1,84
2009,4,0,3.6,88.405,3.76,2,-54.9,98
2009,5,0,3.9,88.405,3.83,2,-47.9,105
2009,6,0,3.9,88.327,4.09,2,-50.1,106
2009,7,78.1,3.8,88.641,4.09,2,-44,109
2009,8,0,3.8,88.955,4.42,2,-39.4,114
2009,9,79.75,3.6,89.034,4.4,2,-29.8,114
2009,10,0,3.6,88.798,4.47,2,13.6,117
2009,11,0,3.7,88.955,4.32,2,42,113
2009,12,76.7,3.6,89.269,4.24,2,77.9,113
2010,1,0,4.7,89.974,4.29,2,74.9,115
2010,2,0,4,90.156,4.19,2,78,112
2010,3,83.15,3.6,90.338,3.94,2,68.7,112
2010,4,0,3.6,90.702,3.77,2,68.5,112
2010,5,0,3.2,90.793,3.7,2,11.6,112
2010,6,89.1,3.5,90.702,3.75,2,8.2,114
2010,7,0,3.8,90.884,3.88,2.25,13.7,114
2010,8,0,3.5,91.34,3.73,2.25,2.8,111
2010,9,85.2,3.8,92.068,3.48,2.25,13.3,111
2010,10,0,3.7,92.068,3.24,2.25,5.8,110
2010,11,0,3.3,91.613,3.4,2.5,8.8,113
2010,12,86.35,3.6,91.977,3.25,2.5,15.1,112
2011,1,79.9,3.6,93.07,3.71,2.75,26.5,111
2011,2,84.25,3.7,93.707,3.94,2.75,21.7,109
2011,3,90.9,3.8,94.072,3.74,3,27.4,99
2011,4,95.75,3.5,94.163,3.74,3,32.2,101
2011,5,98.4,3.3,94.345,3.66,3,38.8,104
2011,6,91.4,3.3,94.527,3.65,3.25,26.2,102
2011,7,89.6,3.3,94.982,3.77,3.25,21.2,102
2011,8,88.25,3.2,95.62,3.57,3.25,23.5,98
2011,9,96.75,3.3,95.529,3.45,3.25,-1,98
2011,10,94.75,3.2,95.347,3.47,3.25,14.4,100
2011,11,91.35,3.3,95.438,3.39,3.25,19.3,104
2011,12,93,3.2,95.802,3.36,3.25,8.2,99
2012,1,85.75,3.3,96.184,3.37,3.25,6.8,97
2012,2,81,3.4,96.549,3.43,3.25,10.4,101
2012,3,95.8,3.3,96.576,3.55,3.25,-3.5,102
2012,4,94.2,3.3,96.567,3.5,3.25,-8,105
2012,5,99.1,3.2,96.74,3.38,3.25,-15.7,106
2012,6,89,3.2,96.603,3.29,3.25,-11,100
2012,7,86.55,3.1,96.385,3.01,3,-8,99
2012,8,85.75,3.1,96.831,2.83,3,8.6,100
2012,9,91.65,3.2,97.523,2.81,3,16.4,98
2012,10,93.45,3.1,97.341,2.78,2.75,-7.5,99
2012,11,92.25,3.2,96.995,2.8,2.75,-11.4,99
2012,12,92.7,3.1,97.168,2.85,2.75,-7.1,98
2013,1,53.85,3.2,97.751,2.75,2.75,-1,101
2013,2,58.5,3.2,98.078,2.7,2.75,-14,101
2013,3,75.2,3,97.987,2.6,2.75,-5.6,103
2013,4,77.1,3,97.851,2.55,2.75,-10.9,101
2013,5,82.1,3.1,97.851,2.59,2.5,6.3,103
2013,6,73.3,3.1,97.732,2.87,2.5,13.7,104
2013,7,67.35,3.2,97.942,2.91,2.5,19.3,104
2013,8,64.05,3.2,98.288,2.94,2.5,11.6,104
2013,9,83.15,3,98.479,2.9,2.5,11,101
2013,10,77.1,3.1,98.179,2.83,2.5,11.8,106
2013,11,80.25,3.1,98.16,2.94,2.5,4.3,107
2013,12,76.05,3.2,98.279,2.94,2.5,7.2,106
2014,1,72.95,3.3,98.807,2.89,2.5,0,109
2014,2,75.2,3.6,99.071,2.85,2.5,11.5,108
2014,3,94.8,3.4,99.253,2.87,2.5,4.5,108
2014,4,50.35,3.6,99.317,2.88,2.5,6.7,108
2014,5,65.65,3.5,99.481,2.84,2.5,11.7,104
2014,6,56.25,3.5,99.353,2.75,2.5,9.1,107
2014,7,46.8,3.5,99.499,2.56,2.5,-6.5,105
2014,8,61.4,3.5,99.672,2.54,2.25,-10.9,106
2014,9,91.8,3.5,99.608,2.41,2.25,-10.9,107
2014,10,70.05,3.6,99.308,2.24,2,-16.4,105
2014,11,67.1,3.5,99.108,2.14,2,-28.7,103
2014,12,63.5,3.7,99.098,2.14,2,-45.9,101
2015,1,58.95,3.6,99.77,2.04,2,-50.5,102
2015,2,76.25,3.6,99.71,2.02,2,-51.5,103
2015,3,61.4,3.5,99.72,1.87,1.75,-53.1,101
2015,4,64.6,3.6,99.75,1.74,1.75,-40.2,104
2015,5,68.05,3.7,100.03,1.88,1.75,-41.3,105
2015,6,36.45,3.8,100.05,1.77,1.5,-43.6,98
2015,7,64.05,3.7,100.23,1.78,1.5,-52,100
2015,8,62.45,3.6,100.37,1.74,1.5,-48.7,101
2015,9,74.25,3.5,100.11,1.65,1.5,-50.5,103
2015,10,68.45,3.5,100.11,1.63,1.5,-42.2,105
2015,11,69.6,3.6,99.92,1.75,1.5,-37,105
2015,12,60.95,3.5,100.22,1.72,1.5,-30.5,102
2016,1,68.3,3.6,100.39,1.63,1.5,-30.3,100
2016,2,84.7,3.9,100.82,1.47,1.5,-32.2,97.9
2016,3,78.45,3.7,100.56,1.5,1.5,-19.5,100
2016,4,79.05,3.6,100.75,1.47,1.5,-23,101.5
2016,5,76.95,3.6,100.81,1.46,1.5,-18.6,99.2
2016,6,64.6,3.6,100.79,1.33,1.25,-18.7,98.8
2016,7,63.2,3.6,100.6,1.22,1.25,-11.7,101
2016,8,58.5,3.8,100.86,1.24,1.25,-9.1,101.9
2016,9,84.75,3.9,101.46,1.31,1.25,7,101.8
2016,10,75.8,3.8,101.6,1.36,1.25,0.6,102
2016,11,72.6,3.7,101.45,1.61,1.25,18.7,95.7
2016,12,62,3.5,101.56,1.69,1.25,45,94.1
2017,1,70.5,3.6,102.64,1.64,1.25,57.1,93.3
2017,2,53.8,3.9,102.92,1.67,1.25,60,94.4
2017,3,76.2,3.6,102.85,1.71,1.25,32,96.7
2017,4,64.5,3.8,102.72,1.68,1.25,7.4,101.2
2017,5,70.25,3.4,102.83,1.7,1.25,-1.6,108
2017,6,56.95,3.7,102.61,1.67,1.25,-4.7,110.8
2017,7,48.75,3.5,102.78,1.74,1.25,20.6,110.9
2017,8,57.3,3.8,103.37,1.78,1.25,5.7,109.6
2017,9,76.35,3.7,103.49,1.79,1.25,7.1,107.4
2017,10,67.05,3.7,103.39,2.03,1.25,16,108.9
2017,11,70.45,3.7,102.62,2.15,1.5,16.1,112
2017,12,59.7,3.7,102.99,2.1,1.5,12.5,110.6
2018,1,50.4,3.6,103.42,2.19,1.5,22.6,110.7
2018,2,71.75,3.7,104.21,2.28,1.5,14.1,109
2018,3,73.35,4,104.1,2.27,1.5,28.3,108.9
2018,4,70.65,3.8,104.29,2.19,1.5,39,107.9
2018,5,66.95,3.8,104.34,2.25,1.5,38.7,108.8
2018,6,58.15,3.6,104.13,2.18,1.5,61.1,106.3
2018,7,49,3.8,103.93,2.1,1.5,37.1,101.8
2018,8,47.1,4.3,104.85,2.02,1.5,47.8,99.9
2018,9,70.55,4.1,105.65,1.95,1.5,41.8,100.7
2018,10,69.65,4,105.46,2.01,1.5,20.1,99.9
2018,11,67.15,3.9,104.71,1.94,1.75,-11.3,96.5
2018,12,57.4,3.8,104.35,1.83,1.75,-24.8,97.6
2019,1,54.75,4.3,104.24,1.81,1.75,-16.9,98.3
2019,2,60.6,3.8,104.69,1.8,1.75,-7.2,100.3
2019,3,67.85,3.8,104.49,1.79,1.75,-7.4,100.5
2019,4,63.95,4,104.87,1.74,1.75,-6.8,102.4
2019,5,67.15,3.8,105.05,1.68,1.75,-20.2,98.7
2019,6,61.3,3.9,104.88,1.5,1.75,-21.1,98.4
2019,7,54.75,3.9,104.56,1.38,1.5,-14.8,96.9
2019,8,50.55,3.2,104.81,1.16,1.5,-21.1,93.5
2019,9,80.5,3.5,105.2,1.29,1.5,-26.2,97.9
2019,10,71.8,3.5,105.46,1.36,1.25,-17,99.5
2019,11,72.8,3.7,104.87,1.49,1.25,8.3,101.7
2019,12,65.9,3.7,105.12,1.39,1.25,34.5,101.3
2020,1,69.5,3.9,105.79,1.37,1.25,-4.1,104.8
2020,2,32.7,3.4,105.8,1.25,1.25,-21.8,97.8
2020,3,29.05,3.8,105.54,1.09,0.75,-65.9,80.4
2020,4,76.9,3.8,104.95,1.02,0.75,-70.5,73.3
2020,5,98.75,4.3,104.71,0.88,0.5,-33.7,79.7
2020,6,80.9,4.2,104.87,0.85,0.5,-32.8,83.7
2020,7,61.9,4.1,104.86,0.83,0.5,-31.3,85.9
2020,8,58.4,3.3,105.5,0.83,0.5,-22.7,89.7
2020,9,60,4,106.2,0.91,0.5,-25.6,81.4
2020,10,75.65,4.2,105.61,0.91,0.5,-33.9,92.9
2020,11,79.2,4.2,105.5,0.97,0.5,-17.8,99
2020,12,48.2,4.5,105.67,0.97,0.5,-20.5,91.2
2021,1,34.65,5.4,106.47,0.98,0.5,1.2,95.4
2021,2,43.75,4,107,1,0.5,37.4,97.4
2021,3,51.85,3.9,107.16,1.13,0.5,188.9,100.5
2021,4,50.2,3.7,107.39,1.14,0.5,237.5,102.2
2021,5,51.95,3.8,107.46,1.13,0.5,86.9,105.3
2021,6,51.4,3.7,107.39,1.3,0.5,87.1,110.3
2021,7,29.7,3.3,107.61,1.42,0.5,83.6,103.2
2021,8,33.7,2.8,108.29,1.41,0.75,60.8,102.5
2021,9,67.5,3,108.83,1.52,0.75,86.5,103.8
