YEAR,MONTH,DAY,KOSPI,È¯À²
2009,1,2,1157.40 ,1257.50 
2009,1,5,1173.57 ,1320.20 
2009,1,6,1194.28 ,1307.30 
2009,1,7,1228.17 ,1312.20 
2009,1,8,1205.70 ,1292.10 
2009,1,9,1180.96 ,1321.00 
2009,1,12,1156.75 ,1329.30 
2009,1,13,1167.71 ,1360.30 
2009,1,14,1182.68 ,1362.40 
2009,1,15,1111.34 ,1344.60 
2009,1,16,1135.20 ,1372.60 
2009,1,19,1150.65 ,1372.00 
2009,1,20,1126.81 ,1359.90 
2009,1,21,1103.61 ,1375.60 
2009,1,22,1116.23 ,1374.50 
2009,1,23,1093.40 ,1371.80 
2009,1,28,1157.98 ,1391.00 
2009,1,29,1166.56 ,1383.10 
2009,1,30,1162.11 ,1368.50 
2009,2,2,1146.95 ,1382.50 
2009,2,3,1163.20 ,1392.10 
2009,2,4,1195.37 ,1390.50 
2009,2,5,1177.88 ,1376.20 
2009,2,6,1210.26 ,1382.70 
2009,2,9,1202.69 ,1379.10 
2009,2,10,1198.87 ,1376.20 
2009,2,11,1190.18 ,1387.00 
2009,2,12,1179.84 ,1397.70 
2009,2,13,1192.44 ,1394.80 
2009,2,16,1175.47 ,1402.20 
2009,2,17,1127.19 ,1411.40 
2009,2,18,1113.19 ,1444.60 
2009,2,19,1107.10 ,1465.70 
2009,2,20,1065.95 ,1474.00 
2009,2,23,1099.55 ,1500.50 
2009,2,24,1063.88 ,1496.60 
2009,2,25,1067.08 ,1510.80 
2009,2,26,1054.79 ,1508.20 
2009,2,27,1063.03 ,1516.40 
2009,3,2,1018.81 ,1525.20 
2009,3,3,1025.57 ,1573.60 
2009,3,4,1059.26 ,1570.40 
2009,3,5,1058.18 ,1559.50 
2009,3,6,1055.03 ,1545.30 
2009,3,9,1071.73 ,1567.70 
2009,3,10,1092.20 ,1548.80 
2009,3,11,1127.51 ,1529.50 
2009,3,12,1128.39 ,1480.00 
2009,3,13,1126.03 ,1487.40 
2009,3,16,1125.46 ,1482.40 
2009,3,17,1163.88 ,1458.00 
2009,3,18,1169.95 ,1416.70 
2009,3,19,1161.81 ,1415.40 
2009,3,20,1170.94 ,1391.40 
2009,3,23,1199.50 ,1399.30 
2009,3,24,1221.70 ,1396.30 
2009,3,25,1229.02 ,1382.10 
2009,3,26,1243.80 ,1384.80 
2009,3,27,1237.51 ,1343.70 
2009,3,30,1197.46 ,1328.90 
